t,x,y,id,
13.329,3.11904,4.55834,14,
13.3295,3.14128,4.55231,14,
13.33,3.1441,4.56383,14,
13.3305,3.12465,4.57797,14,
13.331,3.11777,4.58486,14,
13.3315,3.10315,4.59659,14,
13.332,3.09627,4.60964,14,
13.3325,3.13091,4.59452,14,
13.333,3.12988,4.59522,14,
13.3335,3.13883,4.6056,14,
13.334,3.14136,4.60777,14,
13.3345,3.15646,4.58062,14,
13.335,3.16287,4.58866,14,
13.3355,3.17842,4.59609,14,
13.336,3.17148,4.62287,14,
13.3365,3.16894,4.612,14,
13.337,3.15248,4.61864,14,
13.3375,3.15383,4.60347,14,
13.338,3.15551,4.58556,14,
13.3385,3.14671,4.60103,14,
13.339,3.14579,4.60476,14,
13.3395,3.14476,4.5969,14,
13.34,3.13322,4.59985,14,
13.3405,3.12138,4.60633,14,
13.341,3.12004,4.61282,14,
13.3415,3.11499,4.60856,14,
13.342,3.11022,4.60964,14,
13.3425,3.11437,4.59726,14,
13.343,3.10455,4.61998,14,
13.3435,3.1214,4.61678,14,
13.344,3.12923,4.60314,14,
13.3445,3.11847,4.57319,14,
13.345,3.13472,4.57143,14,
13.3455,3.11391,4.56954,14,
13.346,3.11628,4.55952,14,
13.3465,3.128,4.55645,14,
13.347,3.09709,4.57642,14,
13.3475,3.13091,4.56962,14,
13.348,3.12133,4.58479,14,
13.3485,3.11797,4.57479,14,
13.349,3.12225,4.56707,14,
13.3495,3.13255,4.57098,14,
13.35,3.13055,4.57028,14,
13.3505,3.13442,4.5824,14,
13.351,3.13366,4.52008,14,
13.3515,3.12899,4.52844,14,
13.352,3.09553,4.54655,14,
13.3525,3.07746,4.55102,14,
13.353,3.09475,4.56067,14,
13.3535,3.08677,4.55464,14,
13.354,3.0951,4.55357,14,
13.3545,3.09648,4.55172,14,
13.355,3.10741,4.54019,14,
13.3555,3.10705,4.55222,14,
13.356,3.10526,4.55672,14,
13.3565,3.09207,4.55671,14,
13.357,3.08996,4.56433,14,
13.3575,3.07903,4.54082,14,
13.358,3.09783,4.55002,14,
13.3585,3.10691,4.55652,14,
13.359,3.07889,4.57925,14,
13.3595,3.07984,4.58737,14,
13.36,3.06845,4.57448,14,
13.3605,3.0643,4.56731,14,
13.361,3.05084,4.54238,14,
13.3615,3.06188,4.54329,14,
13.362,3.06154,4.56348,14,
13.3625,3.06581,4.59549,14,
13.363,3.09794,4.58051,14,
13.3635,3.11752,4.59031,14,
13.364,3.14509,4.58156,14,
13.3645,3.12328,4.58973,14,
13.365,3.15218,4.59539,14,
13.3655,3.14042,4.56344,14,
13.366,3.11614,4.58276,14,
13.3665,3.14814,4.55922,14,
13.367,3.12568,4.56459,14,
13.3675,3.1105,4.56067,14,
13.368,3.10735,4.56713,14,
13.3685,3.10734,4.57327,14,
13.369,3.098,4.57144,14,
13.3695,3.09913,4.56879,14,
13.37,3.09587,4.56011,14,
13.3705,3.09081,4.55504,14,
13.371,3.12005,4.53268,14,
13.3715,3.12209,4.51224,14,
13.372,3.13107,4.53315,14,
13.3725,3.13784,4.50168,14,
13.373,3.15262,4.53141,14,
13.3735,3.16248,4.50936,14,
